iter	Passed	Remaining
0	128	128016
1	130	64900
2	132	43891
3	134	33371
4	136	27090
5	138	23025
6	140	19992
7	142	17705
8	144	15927
9	146	14528
10	164	14761
11	170	14037
12	172	13094
13	174	12288
14	176	11581
15	178	10959
16	180	10411
17	183	10026
18	186	9626
19	188	9234
20	190	8875
21	192	8552
22	210	8929
23	212	8623
24	217	8491
25	219	8222
26	221	7971
27	222	7739
28	224	7523
29	226	7322
30	228	7150
31	230	6977
32	232	6812
33	236	6717
34	238	6570
35	240	6429
36	241	6294
37	263	6671
38	265	6538
39	267	6411
40	268	6290
41	272	6207
42	274	6107
43	278	6044
44	280	5945
45	296	6141
46	298	6042
47	299	5947
48	301	5858
49	303	5770
50	305	5689
51	310	5652
52	312	5575
53	313	5498
54	315	5425
55	317	5357
56	319	5288
57	321	5228
58	325	5194
59	327	5129
60	329	5067
61	330	5006
62	332	4948
63	334	4891
64	336	4836
65	342	4847
66	344	4794
67	346	4742
68	347	4692
69	349	4643
70	351	4595
71	356	4588
72	357	4545
73	359	4501
74	361	4458
75	363	4416
76	365	4375
77	366	4335
78	370	4321
79	372	4287
80	374	4250
81	376	4214
82	377	4167
83	378	4132
84	380	4098
85	382	4065
86	388	4078
87	390	4047
88	392	4015
89	394	3985
90	395	3954
91	397	3925
92	402	3926
93	404	3898
94	406	3873
95	408	3845
96	410	3817
97	412	3796
98	414	3770
99	418	3763
100	419	3738
101	421	3715
102	423	3691
103	425	3668
104	427	3647
105	434	3666
106	437	3647
107	439	3626
108	440	3604
109	442	3583
110	448	3593
111	451	3577
112	452	3555
113	454	3534
114	456	3512
115	458	3491
116	459	3467
117	464	3474
118	466	3455
119	468	3435
120	470	3415
121	471	3393
122	473	3374
123	475	3355
124	501	3508
125	503	3490
126	504	3467
127	506	3448
128	508	3430
129	511	3424
130	513	3406
131	515	3388
132	517	3370
133	518	3353
134	520	3337
135	523	3323
136	530	3342
137	532	3328
138	534	3312
139	562	3456
140	564	3440
141	565	3418
142	567	3401
143	569	3384
144	571	3369
145	576	3370
146	614	3568
147	616	3549
148	618	3532
149	620	3514
150	622	3501
151	625	3491
152	627	3475
153	629	3460
154	632	3445
155	634	3431
156	638	3429
157	641	3417
158	643	3402
159	645	3388
160	657	3424
161	659	3410
162	660	3394
163	663	3380
164	665	3368
165	678	3409
166	680	3395
167	683	3385
168	688	3385
169	690	3370
170	692	3355
171	693	3340
172	695	3325
173	697	3310
174	699	3296
175	731	3425
176	736	3425
177	738	3410
178	740	3395
179	742	3380
180	743	3365
181	745	3350
182	747	3336
183	752	3335
184	753	3321
185	755	3307
186	757	3293
187	759	3279
188	760	3265
189	762	3251
190	773	3275
191	775	3263
192	777	3249
193	779	3236
194	787	3252
195	789	3239
196	791	3225
197	793	3212
198	794	3199
199	807	3228
200	808	3215
201	810	3202
202	815	3201
203	817	3188
204	818	3175
205	820	3163
206	822	3150
207	824	3137
208	825	3125
209	831	3126
210	832	3114
211	834	3102
212	836	3090
213	838	3078
214	839	3066
215	841	3054
216	852	3074
217	853	3062
218	855	3052
219	858	3044
220	862	3040
221	864	3029
222	866	3018
223	868	3007
224	869	2996
225	871	2985
226	873	2975
227	878	2976
228	880	2965
229	882	2955
230	884	2945
231	897	2972
232	899	2961
233	901	2951
234	903	2940
235	905	2929
236	909	2929
237	911	2918
238	913	2908
239	915	2898
240	916	2887
241	918	2877
242	920	2867
243	925	2869
244	927	2859
245	929	2848
246	931	2838
247	932	2828
248	934	2818
249	936	2809
250	942	2811
251	944	2802
252	945	2792
253	947	2782
254	949	2773
255	950	2763
256	952	2754
257	957	2752
258	958	2743
259	960	2734
260	962	2725
261	964	2716
262	965	2706
263	967	2697
264	972	2697
265	974	2688
266	976	2680
267	977	2671
268	979	2662
269	981	2653
270	983	2644
271	987	2642
272	989	2634
273	991	2626
274	992	2617
275	994	2608
276	996	2600
277	998	2592
278	1001	2587
279	1003	2580
280	1006	2575
281	1008	2567
282	1010	2559
283	1011	2551
284	1014	2544
285	1019	2546
286	1021	2538
287	1023	2530
288	1025	2522
289	1027	2514
290	1028	2506
291	1032	2503
292	1034	2496
293	1036	2489
294	1038	2481
295	1040	2474
296	1042	2467
297	1044	2459
298	1047	2455
299	1049	2448
300	1051	2440
301	1052	2433
302	1054	2425
303	1056	2418
304	1058	2410
305	1059	2403
306	1063	2399
307	1064	2392
308	1066	2385
309	1068	2378
310	1070	2370
311	1071	2363
312	1073	2356
313	1078	2355
314	1102	2397
315	1104	2390
316	1106	2382
317	1111	2383
318	1113	2376
319	1115	2369
320	1116	2362
321	1118	2355
322	1120	2348
323	1122	2341
324	1127	2342
325	1129	2335
326	1133	2332
327	1135	2325
328	1136	2318
329	1138	2311
330	1140	2304
331	1142	2298
332	1143	2291
333	1145	2284
334	1147	2277
335	1151	2276
336	1153	2270
337	1155	2263
338	1157	2257
339	1159	2250
340	1161	2244
341	1166	2243
342	1168	2237
343	1170	2231
344	1174	2230
345	1176	2223
346	1178	2217
347	1182	2215
